Model,Image_ID,Attack,Is_Correct,Is_Success,L2_Distance
MobileNetV2,74,T-IFGSM,0,1,8.707640647888184
MobileNetV2,75,Baseline,1,0,0.0
MobileNetV2,75,FGSM,0,1,19.397619247436523
MobileNetV2,75,PGD,0,1,10.739224433898926
MobileNetV2,75,DeepFool,0,1,0.08057896792888641
MobileNetV2,75,C&W,0,1,13.57860279083252
MobileNetV2,75,T-IFGSM,0,1,8.788605690002441
MobileNetV2,76,Baseline,1,0,0.0
MobileNetV2,76,FGSM,0,1,19.08333969116211
MobileNetV2,76,PGD,0,1,10.558913230895996
MobileNetV2,76,DeepFool,0,1,0.020129861310124397
MobileNetV2,76,C&W,0,1,41.08958053588867
MobileNetV2,76,T-IFGSM,0,1,8.546939849853516
MobileNetV2,77,Baseline,1,0,0.0
MobileNetV2,77,FGSM,0,1,19.37706184387207
MobileNetV2,77,PGD,0,1,10.779047012329102
MobileNetV2,77,DeepFool,0,1,0.09350206702947617
MobileNetV2,77,C&W,0,1,21.751296997070312
MobileNetV2,77,T-IFGSM,0,1,8.396757125854492
MobileNetV2,78,Baseline,1,0,0.0
MobileNetV2,78,FGSM,0,1,17.63860321044922
MobileNetV2,78,PGD,0,1,10.714447975158691
MobileNetV2,78,DeepFool,1,0,0.10213400423526764
MobileNetV2,78,C&W,0,1,51.93272018432617
MobileNetV2,78,T-IFGSM,0,1,8.71688175201416
MobileNetV2,79,Baseline,1,0,0.0
MobileNetV2,79,FGSM,0,1,19.398454666137695
MobileNetV2,79,PGD,0,1,10.792304992675781
MobileNetV2,79,DeepFool,0,1,0.04517245292663574
MobileNetV2,79,C&W,0,1,21.572568893432617
MobileNetV2,79,T-IFGSM,0,1,8.363018989562988
MobileNetV2,80,Baseline,1,0,0.0
MobileNetV2,80,FGSM,0,1,19.395923614501953
MobileNetV2,80,PGD,0,1,10.76662826538086
MobileNetV2,80,DeepFool,0,1,0.01101341936737299
MobileNetV2,80,C&W,0,1,33.10319900512695
MobileNetV2,80,T-IFGSM,0,1,8.44461441040039
MobileNetV2,81,Baseline,1,0,0.0
MobileNetV2,81,FGSM,0,1,19.27369499206543
MobileNetV2,81,PGD,0,1,10.646020889282227
MobileNetV2,81,DeepFool,0,1,0.05804847925901413
MobileNetV2,81,C&W,0,1,32.16460418701172
MobileNetV2,81,T-IFGSM,0,1,8.556187629699707
MobileNetV2,82,Baseline,1,0,0.0
MobileNetV2,82,FGSM,1,0,16.58574867248535
MobileNetV2,82,PGD,0,1,10.161056518554688
MobileNetV2,82,DeepFool,1,0,3.0344536304473877
MobileNetV2,82,C&W,0,1,66.53866577148438
MobileNetV2,82,T-IFGSM,0,1,8.091787338256836
MobileNetV2,83,Baseline,1,0,0.0
MobileNetV2,83,FGSM,0,1,19.37849235534668
MobileNetV2,83,PGD,0,1,10.811315536499023
